key,source,target
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C06_015_AC06_DialogueStr,"Alright, please tell me how to make it.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C06_009_DialogueStr,"Lure and kill monsters in the Abandoned Stonemason Town with ^<c=@MK_D_Dialogue>Sulfur Gas^</c> to get the materials. The materials needed are a Potent Sap Pouch from a ^<c=@MK_D_Dialogue>Mandrake^</c>, a Spittle Pouch from a ^<c=@MK_D_Dialogue>Basilisk^</c>, and a Poison Sac from a ^<c=@MK_D_Dialogue>Scorpion^</c>.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C06_010_DialogueStr,"When you've collected all the fragments, find the ^<c=@MK_D_Dialogue>Chapel hidden in the town^</c>. Apparently, there's a special Synthesizer there.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C06_017_AC06_DialogueStr,"When you've collected all the fragments, find the ^<c=@MK_D_Dialogue>Chapel hidden in the town^</c>. Apparently, there's a special Synthesizer there.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C06_011_DialogueStr,"There's a clue in the lyrics... ^<c=@MK_D_Dialogue>""Let's fuse the heart fragments! Three, two, one!^</c> The Golem wakes up when you combine the heart!"" I don't know what it means exactly, but it sounds important.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C06_012_AC06_DialogueStr,"Oh? And you are...? Haha, just kidding! Is there something that you need to know?",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C06_013_AC06_DialogueStr,"So, what exactly do we have going on here?",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C06_014_AC06_DialogueStr,"The stone fragments were hidden around the ^<c=@MK_D_Dialogue>Abandoned Stonemason Town^</c>. To unseal the stone chests containing the fragments, a magic solution made from a special substance is needed.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C06_016_AC06_DialogueStr,You need to lure in and kill some monsters with ^<c=@MK_D_Dialogue>Sulfur Gas^</c> in the Abandoned Stonemason Town to get all the required materials.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C06_018_AC06_DialogueStr,"There's a clue in the lyrics...""Let's combine the hearts! Three, two, one!"" Remember that part. I don't know what it means, but it sounds important.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxA_C08_000_DialogueStr,"There's a very dusty stone chest. It's closed tight.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxB_C08_000_DialogueStr,"There's a very dusty stone chest. It's closed tight.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxC_C08_000_DialogueStr,"There's a very dusty stone chest. It's closed tight.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxA_C08_001_DialogueStr,Drop the solution on the chest.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxB_C08_001_DialogueStr,Drop the solution on the chest.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxC_C08_001_DialogueStr,Drop the solution on the chest.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxA_C08_002_DialogueStr,There is a piece of stone containing a gem inside the chest.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxB_C08_002_DialogueStr,There is a piece of stone containing a gem inside the chest.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxC_C08_002_DialogueStr,There is a piece of stone containing a gem inside the chest.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxA_C08_003_DialogueStr,The chest is empty.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxB_C08_003_DialogueStr,The chest is empty.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxC_C08_003_DialogueStr,The chest is empty.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxA_C08_002_0_DialogueStr,Pick up the gem.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxB_C08_002_0_DialogueStr,Pick up the gem.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxC_C08_002_0_DialogueStr,Pick up the gem.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxA_C08_002_1_DialogueStr,You acquired a ^<c=@MK_D_Dialogue>stone fragment with 3 gems^</c> from the chest.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxB_C08_002_1_DialogueStr,You acquired a ^<c=@MK_D_Dialogue>stone fragment with 2 gems^</c> from the chest.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StoneBoxC_C08_002_1_DialogueStr,You acquired a ^<c=@MK_D_Dialogue>stone fragment with 1 gem^</c> from the chest.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_MagicCircle_C09_000_DialogueStr,"It's a Magic Circle that doesn't seem to have been used in some time.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_MagicCircle_C09_001_DialogueStr,^<imgf=IMG_CODEX_INS> The ^<c=@MK_D_Dialogue>Magic Circle^</c> seems to have been activated by someone. Go inside.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_GolemHeartAlter_C09_001_DialogueStr,"It's an old altar. Above the altar floats a mysterious, glowing blue stone.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_GolemHeartAlter_C09_002_DialogueStr,Take out the Heart Fragments and place them on the altar.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_GolemHeartAlter_C09_003_DialogueStr,The Heart Fragments are placed on the altar.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_GolemHeartAlter_C09_004_DialogueStr,"The fragments moved as if searching for their proper place, meandering around the stone.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_GolemHeartAlter_C09_005_DialogueStr,"Let's put the Heart Fragments back together.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_MagicCircle_C09_002_DialogueStr,"The Magic Circle has lost its gleam. It seems it won't be usable any longer.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Oldbag_C10_001_DialogueStr,Take the old bag.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_Oldbag_C10_002_DialogueStr,"There's a pile of stones in the location Sienna described.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Oldbag_C10_003_DialogueStr,"When you rummage through the stones, you find the old bag Sienna mentioned.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Oldbag_C10_004_DialogueStr,Inside the bag is an ^<c=@MK_D_Dialogue>old bandana^</c>. Take the bag to Henderson as requested.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C11_001_DialogueStr,"Here's your old bandana.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C11_002_DialogueStr,"I thought I would never be able to sing that song again, but... thanks to you, it's been reborn in my heart!",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C11_003_DialogueStr,That was beyond fantastic. A masterpiece!,
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C11_004_DialogueStr,"Thank you. Thanks to you, I'm thinking of making a new song with the adventures I remembered.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C11_005_DialogueStr,"I'm going to write an exciting song thinking about my activities while in the Resistance. I'll let you hear it first, so make sure to stop by again! Haha...",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C11_001_AC11_DialogueStr,Glad to see you feeling better.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C11_002_AC11_DialogueStr,"Oh, by the way, I've been inspired by you to write a new song lately! Thank you so much!",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C11_003_AC11_DialogueStr,Encore! Encore! Play it again!,
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C11_004_AC11_DialogueStr,"Of course! If it's you that's asking, I can sing as many times as you want!",
TLDialogue_L03_Adv_06/D_L03_Codex_01_StonePagoda_C12_001_AC11_DialogueStr,This is a tower someone built with care.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StonePagoda_C12_002_AC11_DialogueStr,There is something engraved on the stone at the bottom of the tower.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StonePagoda_C12_002_AC11_0_DialogueStr,What does it say...,
TLDialogue_L03_Adv_06/D_L03_Codex_01_StonePagoda_C12_003_AC11_DialogueStr,"""^<c=@MK_D_Dialogue>Sienna Parsons, Henderson Harmon, and Louie Hayson.^</c> We three vow to liberate Stonegard to protect those who suffer from the tyranny of Lord Fernan.""",
TLDialogue_L03_Adv_06/D_L03_Codex_01_StonePagoda_C12_004_AC11_DialogueStr,"""As a show of faith, whenever we achieve something towards that goal, we will add a stone to a pile here as proof.""",
TLDialogue_L03_Adv_06/D_L03_Codex_01_StonePagoda_C12_005_AC11_DialogueStr,"""As a pile of stones will someday become a tall tower, Stonegard will one day be freed and then we will start a new journey in search of our dreams.""",
TLDialogue_L03_Adv_06/D_L03_Codex_01_StonePagoda_C12_006_AC11_DialogueStr,"""Until then, we are determined to become one and fight against evil. Sienna, Henderson, and Louie.""",
TLDialogue_L03_Adv_06/D_L03_Codex_01_PaolaNote_S01_001_DialogueStr,"Paola's lost research journal.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_PaolaNote_S01_002_DialogueStr,"When you open it, there is a lot of information about Dimensional Circles written inside. Keep it safe and return it to Paola.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_001_BC01_DialogueStr,"I can't wait to see what lies behind the dimensional circle.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_003_DialogueStr,"Huh...? Wait, wait! You, the dashing adventurer over there! How would you like to explore the unknown? I can draw a dimensional circle for you if you'd like.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_006_DialogueStr,"Dimensional circles are an ancient kind of magic. It's taken a long time and a lot of effort, but I've finally managed to replicate it!",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_007_DialogueStr,"There's so much I want to know about the world beyond the dimensional circle, but those monsters make it nearly impossible to do any research. You wouldn't believe how many close calls I've had!",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_008_DialogueStr,"You seem strong enough. I bet you'd fare far better there than I have. And who knows what wonderful things you might discover while you're there! Will you give it a try, at least?",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_009_DialogueStr,"I want to go find it myself, but... I had an injury while escaping from the dimension last time, and haven't recovered yet. Alas, what can I do? Without it, research on the dimensional circle will come to nothing...",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_010_DialogueStr,"I'll help you find it.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_011_DialogueStr,"Ah?! Really? Thank you! You can probably find my research journal somewhere in the ^<c=@MK_D_Dialogue>Specter's Abyss^</c>. There are many interesting things beyond the dimensional circle, maybe you'll find something special.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_012_DialogueStr,"Instead, I recommend that - when entering the dimensional circle, you go with other colleagues. You're strong enough, but it's quite dangerous there. Well, please take care of yourself.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_013_AC01_DialogueStr,It would be better to go with colleagues beyond the dimensional circle.,
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_014_DialogueStr,"Adventurer, you came back! I'm glad you came back safely. Did you find my research journal?",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_015_DialogueStr,"Here's your research journal.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_016_DialogueStr,"Of course you are! I believed it! I was so upset to lose my research journal, which was the result of my blood, sweat, and tears... Without you, all my research would become all for nothing.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_017_DialogueStr,"Thanks to you, the dimension circle research will proceed smoothly. As a token of my gratitude, if I obtain research results that may be helpful to you someday, I will be sure to let you know first. Thank you!",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_018_AC01_DialogueStr,"Hmm... Let me see, let's see... Assuming the dimensional circle has such a structure...",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Ripleck_S01_000_BC_DialogueStr,"I have something on my mind. Please don't bother me.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Ripleck_S01_001_A06_DialogueStr,"This is driving me crazy, seriously...",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Ripleck_S01_002_A06_DialogueStr,Ugh... What should I do?,
TLDialogue_L03_Adv_06/D_L03_Codex_01_Ripleck_S01_004_DialogueStr,"Oh! You're an adventurer from another region, aren't you? Can you help me?",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Ripleck_S01_005_DialogueStr,"Sure, brief me on what's happening.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Ripleck_S01_006_DialogueStr,"A few days ago, my friends and I were bragging about our adventures. One of them called me a coward, so I made up a story about how I had taken out Chernobog in one hit...",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Ripleck_S01_007_DialogueStr,"Hmph! The thing is, I made a bet with the ones who didn't believe me. They were mocking me, so I said I'd show them Chernobog's Carapace as evidence.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Ripleck_S01_008_DialogueStr,"Wait, Chernobog? What's that?",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Ripleck_S01_009_DialogueStr,"Chernobog is a giant, dangerous golden Basilisk. You'd never want to run into it. It is a Demonic Beast that sleeps underground but was awoken by a huge mana wave.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Ripleck_S01_010_DialogueStr,"Adventurer, please help me! If I'm branded as a coward and a bluffer, I'll have to leave here out of sheer embarrassment... Please!",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Ripleck_S01_012_DialogueStr,"Oh, thank you! You're a lifesaver! When you get Chernobog's Carapace, show it to Jericho in Stonegard Castle and tell him that you got it from me.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Ripleck_S02_01_AS1_DialogueStr,Chernobog is a terrible beast. Please be careful!,
TLDialogue_L03_Adv_06/D_L03_Codex_01_Ripleck_S03_01_AS2_DialogueStr,"Wow, you're incredible! I can't believe you defeated that scary creature...",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Ripleck_S03_02_AS3_DialogueStr,"Oh, what should I do? Why did I have to lie again...?",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Jericho_S03_000_BC_DialogueStr,"Hmm? Can't you see I'm busy?",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Jericho_S03_001_DialogueStr,Toiho! Do you need something from me?,
TLDialogue_L03_Adv_06/D_L03_Codex_01_Jericho_S03_002_DialogueStr,"Check out this, it's Chernobog's Carapace.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Jericho_S03_003_DialogueStr,Oh? A golden Basilisk Carapace... Is this from Chernobog?!,
TLDialogue_L03_Adv_06/D_L03_Codex_01_Jericho_S03_004_DialogueStr,"I came by to show it to you at Ripleck's request.",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Jericho_S03_005_DialogueStr,"Bwahaha! I lost! But when will Ripleck ever break that bluffing habit of his...? Anyway, you did him a big favor, so good job!",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Jericho_S01_01_AS3_DialogueStr,"I want to hunt down Chernobog one day, too!",
TLDialogue_L03_Adv_06/D_L03_Codex_01_AkiumA_C08_001_DialogueStr,"Who's there?!",
TLDialogue_L03_Adv_06/D_L03_Codex_01_AkiumB_C08_001_DialogueStr,"How dare you steal the Golem's Heart without fear of reprisal?!",
TLDialogue_L03_Adv_06/D_L03_Codex_01_AkiumB_C08_002_DialogueStr,"Get them! Don't let them get away!",
TLDialogue_L03_Adv_06/D_L03_Codex_01_AkiumB_C08_003_DialogueStr,Oof!,
TLDialogue_L03_Adv_06/D_L03_Codex_01_AkiumB_C08_004_DialogueStr,For Kazar...!,
TLDialogue_L03_Adv_06/D_L03_Codex_01_AkiumCommanderA_C09_001_DialogueStr,Look everywhere! We must find it!,
TLDialogue_L03_Adv_06/D_L03_Codex_01_AkiumC_C08_001_DialogueStr,Hiyah!,
TLDialogue_L03_Adv_06/D_L03_Codex_01_AkiumC_C08_002_DialogueStr,Argh!,
TLDialogue_L03_Adv_06/D_L03_Codex_01_AkiumD_C08_001_DialogueStr,Ack...!,
TLDialogue_L03_Adv_06/D_L03_Codex_01_AkiumFootmanA_C09_001_DialogueStr,Where is it...?,
TLDialogue_L03_Adv_06/D_L03_Codex_01_AkiumFootmanA_C09_002_DialogueStr,Huh? An intruder!,
TLDialogue_L03_Adv_06/D_L03_Codex_01_AkiumFootmanB_C09_001_DialogueStr,You sure we can find anything in this darkness?,
TLDialogue_L03_Adv_06/D_L03_Codex_01_AkiumFootmanB_C09_002_DialogueStr,What? How did you get in here?,
TLDialogue_L03_Adv_06/D_L03_Codex_01_AkiumMagician_C09_002_DialogueStr,Ha! I guess you came to die!,
TLDialogue_L03_Adv_06/D_L03_Codex_01_Cavane_C02_002_DialogueStr,"Excuse me, are you Cavane by chance?",
TLDialogue_L03_Adv_06/D_L03_Codex_01_ExtraCoupleMan_C06_001_DialogueStr,"(Oh my, tsk-tsk...)",
TLDialogue_L03_Adv_06/D_L03_Codex_01_ExtraCoupleWoman_C06_001_DialogueStr,(Was his heart broken again?),
TLDialogue_L03_Adv_06/D_L03_Codex_01_Henderson_C01_003_DialogueStr,Greetings... Henderson I presume?,
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_002_BC02_DialogueStr,"Let's see, let's see... Where can I find some strong adventurers?",
TLDialogue_L03_Adv_06/D_L03_Codex_01_Paola_S01_004_DialogueStr,And you are?,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_GlennRichill_001_DialogueStr,No... I cannot allow my daughter to end up like me...,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_GlennRichill_002_DialogueStr,"Huh...? My god! You can see me? I have been standing here for more than ten years and not a single person has ever seen, let alone spoken with me. Finally the one who can help me has come!",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_GlennRichill_002_01_DialogueStr,"Oh, I didn't introduce myself. My name is Glenn.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_GlennRichill_003_DialogueStr,"Why can't you leave this place?",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_GlennRichill_004_DialogueStr,"Well... It is all for my ^<c=@MK_D_Dialogue>daughter^</c>. I simply could not leave here because I've been so worried about her.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_GlennRichill_005_DialogueStr,"My daughter, Marcia, is ^<c=@MK_D_Dialogue>captain of the Sandworm Raid Group^</c>. She intends to catch Queen Bellandir. But it's too dangerous, she's being reckless!",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_GlennRichill_006_DialogueStr,"^<c=@MK_D_Dialogue>Marcia^</c> has never truly experienced the horror of that monster. Not like me. I lost my leg to the beast, and then the wound festered and I died.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_GlennRichill_007_DialogueStr,Ordinary people like us are no match for her.,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_GlennRichill_008_DialogueStr,Is Queen Bellandir really that impressive?,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_GlennRichill_009_DialogueStr,"What? You don't know ^<c=@MK_UI_Siege_Enemy>Queen Bellandir^</c>? She's a dreadful monster who sweeps through the desert, killing and gobbling up everything she encounters!",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_GlennRichill_010_DialogueStr,"Search around the ^<c=@MK_D_Dialogue>Sandworm Lair^</c> and you'll find traces of the monster.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_GlennRichill_011_DialogueStr,"You'll understand why I'm so worried when you see for yourself what it leaves behind.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_GlennRichill_012_DialogueStr,"I'll have a look for myself.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_GlennRichill_013_DialogueStr,"Afterwards, go to her group's Campsite and try to convince my daughter. Please, she has no idea what she's up against. I just don't want her to end up like me.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_Resistance_FemaleD_002_001_DialogueStr,Resistance soldiers from all over have gathered to defeat Queen Bellandir.,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_Resistance_FemaleD_003_001_DialogueStr,"It's hard to adapt to the desert day and night.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_Resistance_MaleD_001_001_DialogueStr,"I've been in this camp how long...?",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_010_Resistance_MaleD_004_001_DialogueStr,"I need to rest well so I won't falter in my next task.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_020_GlennRichill_001_DialogueStr,"Look for signs of Queen Bellandir around the ^<c=@MK_D_Dialogue>Sandworm Lair^</c>, and speak to Marcia at the Sandworm Raid Group Campsite. Please, convince my daughter not to go through with this!",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C00_020_Resistance_MaleD_003_001_DialogueStr,Can Queen Bellandir... be captured?,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_010_HouseRubble_001_DialogueStr,"It's the remains of a wrecked house. What happened here?",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_020_HouseRubble_001_DialogueStr,Examine the debris.,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_020_HouseRubble_002_DialogueStr,"You found the site of a wrecked house. Looking at the shape of the wreckage, ^<c=@MK_D_Dialogue>something huge^</c> seems to have destroyed it in an instant.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_030_SignBoard_001_DialogueStr,Someone has written a warning here. What is the warning about?,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_040_SignBoard_001_DialogueStr,Someone has written a warning here.,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_040_SignBoard_002_DialogueStr,"""Warning! This is the great corridor through which ^<c=@MK_UI_Siege_Enemy>Queen Bellandir^</c> roams. Entering risks your life. Go back from whence you came!""",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_050_Merchant_001_DialogueStr,"Ugh... I'm not in the mood to talk right now.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_060_Merchant_001_DialogueStr,"Oh my... I'm done for... Ugh... My camels...",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_060_Merchant_003_DialogueStr,"Ugh... I'm completely ruined because of ^<c=@MK_D_Dialogue>Queen Bellandir^</c>! She vacuumed up two hundred of my camels in an instant. Not just the camels, but all the goods they were carrying too.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_060_Merchant_004_DialogueStr,Do you know where she went?,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_060_Merchant_005_DialogueStr,"At first, I went around looking for her in the hopes I might salvage something. But then I saw a pile of bone fragments in a pit connected to the ^<c=@MK_D_Dialogue>Sandworm Lair^</c>.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_060_Merchant_006_DialogueStr,"The pile consisted of bone fragments of the people and animals she consumed. Seeing that, I didn't dare hunt for her anymore...",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_060_Merchant_007_DialogueStr,"Glad you're here to tell the tale.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_060_Merchant_008_DialogueStr,"Everyone told me I should be happy that I escaped with my life. But now I'm broke, propertyless and have a huge debt to pay.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_060_Merchant_009_DialogueStr,"^<c=@MK_UI_Siege_Enemy>Queen Bellandir^</c>... She ruined my life overnight. You'd best be careful, too. You could be her next victim.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_060_Merchant_010_DialogueStr,Where is this pit full of bones you spoke of?,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_060_Merchant_011_DialogueStr,"You mean the Sandworm Lair? It is to the ^<c=@MK_D_Dialogue>east^</c> of here. But don't ever go near it. That place is dangerous.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_070_Merchant_001_DialogueStr,"The Sandworm Lair pit is ^<c=@MK_D_Dialogue>east^</c> of here. Don't ever go near it since it's dangerous.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_070_Merchant_002_DialogueStr,Ugh... my camels...,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_080_DigestedBones_001_DialogueStr,Bone fragments are piled up high.,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_090_DigestedBones_001_DialogueStr,Examine the Pile of Bones ^<imgf=IMG_CODEX_INS>,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_090_DigestedBones_002_DialogueStr,"Bones that appear to belong to humans and animals are in numerous fragments and mixed together. ^<c=@MK_UI_Siege_Enemy>Queen Bellandir^</c>'s power seems to be beyond imagination.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_100_DigestedBones_001_DialogueStr,There is another pile of bones.,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_110_DigestedBones_002_DialogueStr,Broken bones are mixed together like the other pile of bones you just investigated.,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_110_DigestedBones_003_DialogueStr,The bone fragments are glistening with body fluids that have not yet dried.,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C01_120_DigestedBones_002_DialogueStr,"The ground rumbles and bone fragments clatter. Something seems to be approaching. You'd better get out of here.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C02_010_Josephine_001_DialogueStr,Get over here. Hurry it up!,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C02_019_Josephine_001_DialogueStr,Hm... Do I already have this ingredient? Or do I need to go make another trip to the Sandworm Lair?,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C02_020_Josephine_001_DialogueStr,"I've never seen you around before. Excuse me, but I'm a little busy. Please come visit me some other time.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C02_020_Josephine_002_DialogueStr,"You've saved my hide. I thank you.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C02_020_Josephine_003_DialogueStr,"I got lucky. ^<c=@MK_UI_Siege_Enemy>Queen Bellandir^</c> refuses to give up on her prey once she's marked them for the hunt. People would say it's fate for us to meet, so let's get on with the introductions.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C02_020_Josephine_004_DialogueStr,My name and affiliation are...,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C02_020_Josephine_005_DialogueStr,"I am ^<c=@MK_D_Dialogue>Josephine Craft^</c>, a wizard from Venelux. I'm studying the magic of Soren Warnach, who created the ^<c=@MK_D_Place>Moonlight Oasis^</c> here.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C02_020_Josephine_006_DialogueStr,What were you doing there?,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C02_020_Josephine_007_DialogueStr,"I discovered that the magic used by Soren Warnach correlates with Queen Bellandir's mana, so I've been investigating the ^<c=@MK_D_Dialogue>Queen's behavior^</c>. That's the reason I went there.",
TLDialogue_L03_Adv_07/D_L03_Codex_02_C02_020_Josephine_008_DialogueStr,Did you go looking for ^<c=@MK_UI_Siege_Enemy>Queen Bellandir^</c> on purpose? She has already taken so many ^<c=@Codex_AD_HN>Resistance members^</c> from us... You almost became one of them. Did you do that out of curiosity?,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C02_020_Josephine_009_DialogueStr,Glenn has asked me to stop his daughter Marcia...,
TLDialogue_L03_Adv_07/D_L03_Codex_02_C02_020_Josephine_010_DialogueStr,"Oh, I understand. I'd want to stop my family if they said they would defeat Queen Bellandir. I think I know how Glenn feels. Did you say ^<c=@MK_D_Dialogue>Marcia^</c>? You should hurry up and try to persuade her.",
